school,band_name,city,state,district,enrollment,parades,parades_marched,last_appearance,boa_finalist_years,school_url,band_url,director_name,director_email,director_phone,booster_org,source_urls,score,tier,notes
William Mason High School,Marching Band,Mason,OH,,,BOA Grand National Finalist 2025; BOA Grand National Finalist 2024; Rose 2024; BOA Grand National Finalist 2023; BOA Grand National Finalist 2022; BOA Grand National Finalist 2021; BOA Grand National Finalist 2019; BOA Grand National Finalist 2018; Rose 2016,9,2025,2025; 2024; 2023; 2022; 2021; 2019; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2025/; https://marching.musicforall.org/result/grand-national-championships-2024/; https://marching.musicforall.org/result/grand-national-championships-2023/; https://marching.musicforall.org/result/grandnationals22/; https://marching.musicforall.org/result/grandnats2021/; https://marching.musicforall.org/result/grand-national-championships/; https://marching.musicforall.org/result/grand-national-championships-2018/; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
Carmel High School,Marching Greyhounds,Carmel,IN,,,Rose 2027; BOA Grand National Finalist 2025; BOA Grand National Finalist 2024; BOA Grand National Finalist 2023; BOA Grand National Finalist 2022; BOA Grand National Finalist 2021; BOA Grand National Finalist 2019; BOA Grand National Finalist 2018,8,2027,2025; 2024; 2023; 2022; 2021; 2019; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2025/; https://marching.musicforall.org/result/grand-national-championships-2024/; https://marching.musicforall.org/result/grand-national-championships-2023/; https://marching.musicforall.org/result/grandnationals22/; https://marching.musicforall.org/result/grandnats2021/; https://marching.musicforall.org/result/grand-national-championships/; https://marching.musicforall.org/result/grand-national-championships-2018/; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
Avon High School,,,IN,,,BOA Grand National Finalist 2025; BOA Grand National Finalist 2024; BOA Grand National Finalist 2023; BOA Grand National Finalist 2022; BOA Grand National Finalist 2021; BOA Grand National Finalist 2019; BOA Grand National Finalist 2018,7,2025,2025; 2024; 2023; 2022; 2021; 2019; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2025/; https://marching.musicforall.org/result/grand-national-championships-2024/; https://marching.musicforall.org/result/grand-national-championships-2023/; https://marching.musicforall.org/result/grandnationals22/; https://marching.musicforall.org/result/grandnats2021/; https://marching.musicforall.org/result/grand-national-championships/; https://marching.musicforall.org/result/grand-national-championships-2018/,,,
Broken Arrow High School,The Pride of,The Pride of Broken Arrow,OK,,,BOA Grand National Finalist 2025; BOA Grand National Finalist 2024; BOA Grand National Finalist 2022; Rose 2022; BOA Grand National Finalist 2021; BOA Grand National Finalist 2018; Rose 2017,7,2025,2025; 2024; 2022; 2021; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2025/; https://marching.musicforall.org/result/grand-national-championships-2024/; https://marching.musicforall.org/result/grandnationals22/; https://marching.musicforall.org/result/grandnats2021/; https://marching.musicforall.org/result/grand-national-championships-2018/; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
Blue Springs High School,Golden Regiment Marching Band,Blue Springs,MO,,,Rose 2027; BOA Grand National Finalist 2025; BOA Grand National Finalist 2023; BOA Grand National Finalist 2021; BOA Grand National Finalist 2018; Rose 2015,6,2027,2025; 2023; 2021; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2025/; https://marching.musicforall.org/result/grand-national-championships-2023/; https://marching.musicforall.org/result/grandnats2021/; https://marching.musicforall.org/result/grand-national-championships-2018/; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
Pennsbury High School,Pennsbury High School Marching Band,Fairless Hills,PA,,,Philadelphia 2022; Philadelphia 2019; Philadelphia 2018; Rose 2018; Philadelphia 2016; Philadelphia 2015,6,2022,,,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
Dobyns-Bennett High School,Marching Band,Kingsport,TN,,,BOA Grand National Finalist 2024; BOA Grand National Finalist 2022; BOA Grand National Finalist 2021; Rose 2020; BOA Grand National Finalist 2018,5,2024,2024; 2022; 2021; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2024/; https://marching.musicforall.org/result/grandnationals22/; https://marching.musicforall.org/result/grandnats2021/; https://marching.musicforall.org/result/grand-national-championships-2018/; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
Brownsburg High School,The Sound of Brownsburg High School Marching Band,Brownsburg,IN,,,Rose 2026; BOA Grand National Finalist 2023; BOA Grand National Finalist 2022; Philadelphia 2015,4,2026,2023; 2022,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2023/; https://marching.musicforall.org/result/grandnationals22/; https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
The Woodlands High School,,,TX,,,BOA Grand National Finalist 2025; BOA Grand National Finalist 2023; BOA Grand National Finalist 2021; BOA Grand National Finalist 2019,4,2025,2025; 2023; 2021; 2019,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2025/; https://marching.musicforall.org/result/grand-national-championships-2023/; https://marching.musicforall.org/result/grandnats2021/; https://marching.musicforall.org/result/grand-national-championships/,,,
Burton Bulldog Marching Band,Burton Bulldog Marching Band,,,,,Hollywood 2026; Hollywood 2025; Hollywood 2024,3,2026,,,,,,,,https://thehollywoodchristmasparade.org/category/2024-marching-bands-dance-cheer-groups/; https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/; https://thehollywoodchristmasparade.org/category/2026-marching-bands-dance-cheer-groups/,,,state unknown: source lists no location
Homewood High School,Homewood High School Patriot Band,Homewood,AL,,,Rose 2026; Rose 2022; Philadelphia 2016,3,2026,,,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
Arcadia High School,Apache Marching Band and Color Guard,Arcadia,CA,,,Rose 2026; Rose 2022; Rose 2017,3,2026,,,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,,,
A.I. DuPont High School,A.I. DuPont High School Tiger Band,Greenville,DE,,,Philadelphia 2019; Philadelphia 2018; Philadelphia 2016,3,2019,,,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,,,
Tarpon Springs High School,,,FL,,,BOA Grand National Finalist 2024; BOA Grand National Finalist 2022; BOA Grand National Finalist 2018,3,2024,2024; 2022; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2024/; https://marching.musicforall.org/result/grandnationals22/; https://marching.musicforall.org/result/grand-national-championships-2018/,,,
