school,band_name,city,state,event,year,source_url
Avon High School,,,IN,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Flower Mound High School,,,TX,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Carmel High School,,,IN,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Broken Arrow High School,,,OK,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
The Woodlands High School,,,TX,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Ronald Reagan High School,,,TX,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Marcus High School,,,TX,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Blue Springs High School,,,MO,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Dripping Springs High School,,,TX,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
William Mason High School,,,OH,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Wando High School,,,SC,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Bentonville High School,,,AR,BOA Grand National Finalist,2025,https://marching.musicforall.org/result/grand-national-championships-2025/
Avon High School,,,IN,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Carmel High School,,,IN,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Broken Arrow High School,,,OK,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Tarpon Springs High School,,,FL,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Cedar Park High School,,,TX,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
William Mason High School,,,OH,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Bridgeland High School,,,TX,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
American Fork High School,,,UT,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Castle High School,,,IN,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Dobyns-Bennett High School,,,TN,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Prosper High School,,,TX,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Leander High School,,,TX,BOA Grand National Finalist,2024,https://marching.musicforall.org/result/grand-national-championships-2024/
Avon High School,,,IN,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Carmel High School,,,IN,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Hebron High School,,,TX,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Blue Springs High School,,,MO,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
The Woodlands High School,,,TX,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
William Mason High School,,,OH,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Pearland High School,,,TX,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Round Rock High School,,,TX,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Bentonville High School,,,AR,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Keller High School,,,TX,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Brownsburg High School,,,IN,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Fishers High School,,,IN,BOA Grand National Finalist,2023,https://marching.musicforall.org/result/grand-national-championships-2023/
Carmel High School,,,IN,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Avon High School,,,IN,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Broken Arrow High School,,,OK,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
William Mason High School,,,OH,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Tarpon Springs High School,,,FL,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Dobyns-Bennett High School,,,TN,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Southlake Carroll High School,,,TX,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Brownsburg High School,,,IN,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Robert E. Hendrickson High School,,,TX,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Fishers High School,,,IN,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Prosper High School,,,TX,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Castle High School,,,IN,BOA Grand National Finalist,2022,https://marching.musicforall.org/result/grandnationals22/
Broken Arrow High School,,,OK,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Carmel High School,,,IN,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Avon High School,,,IN,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
The Woodlands High School,,,TX,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Flower Mound High School,,,TX,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Marcus High School,,,TX,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Claudia Taylor Johnson High School,,,TX,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Dobyns-Bennett High School,,,TN,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Ronald Reagan High School,,,TX,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
Blue Springs High School,,,MO,BOA Grand National Finalist,2021,https://marching.musicforall.org/result/grandnats2021/
