school,band_name,city,state,event,year,source_url,_source,exclusion_reason
Celtic Irish Dance Academy,,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/,hollywood,community band
Marine Band San Diego,Marine Band San Diego,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/,hollywood,military band
Los Angeles Catholic Schools Band,Los Angeles Catholic Schools Band,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/,hollywood,all-star/honor/all-district band
Marine Band San Diego,Marine Band San Diego,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/,hollywood,military band
Los Angeles Catholic Schools Band (LACSB),Los Angeles Catholic Schools Band (LACSB),,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/,hollywood,all-star/honor/all-district band
PAVA World Korean Traditional Band,PAVA World Korean Traditional Band,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/,hollywood,all-star/honor/all-district band
Gadsden Elementary School,Gadsden Elementary School District #32 Marching Band,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/,hollywood,elementary/primary school
Gevorkian Dance Academy,,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/,hollywood,community band
The Los Angeles Catholic Schools Band (LACSB),The Los Angeles Catholic Schools Band (LACSB),,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/,hollywood,all-star/honor/all-district band
PAVA Korean Traditional Band,PAVA Korean Traditional Band,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/,hollywood,all-star/honor/all-district band
Los Angeles Catholic Schools Band,Los Angeles Catholic Schools Band,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/,hollywood,all-star/honor/all-district band
PUSD All-Star Band,PUSD All-Star Band,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/,hollywood,all-star/honor/all-district band
Gadsden Elementary School,Gadsden Elementary School District,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/,hollywood,elementary/primary school
Marine Band San Diego,Marine Band San Diego,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/,hollywood,military band
Los Angeles Catholic Schools Band,Los Angeles Catholic Schools Band,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/,hollywood,all-star/honor/all-district band
Pasadena Unified School,Pasadena Unified School District All Star Band,,,Hollywood,2024,https://thehollywoodchristmasparade.org/category/2024-marching-bands-dance-cheer-groups/,hollywood,all-star/honor/all-district band
San Marino Dance Academy,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/,hollywood,community band
Gevorkian Dance Academy,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/,hollywood,community band
Muévete Dance Academy,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/,hollywood,community band
Tournament of Bands All-Star Marching Band,,,,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,all-star/honor/all-district band
