school,band_name,city,state,event,year,source_url
Summit High School,,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/
Northwest Guilford Marching Viking Band,Northwest Guilford Marching Viking Band,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/
Habersham Central High School,Habersham Central High School Band,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/
Celtic Irish Dance Academy,,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/
Carrollton High School,,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/
Marine Band San Diego,Marine Band San Diego,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/
Los Angeles Catholic Schools Band,Los Angeles Catholic Schools Band,,,Hollywood,2018,https://thehollywoodchristmasparade.org/category/2018-marching-band-and-pageantry/
Marine Band San Diego,Marine Band San Diego,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Los Angeles Catholic Schools Band (LACSB),Los Angeles Catholic Schools Band (LACSB),,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Riverview High School,Riverview High School Kiltie Band,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Porterville Panther Band,Porterville Panther Band,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Pendleton Heights Marching Arabians,Pendleton Heights Marching Arabians,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
PAVA World Korean Traditional Band,PAVA World Korean Traditional Band,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Oak Park Marching Northmen,Oak Park Marching Northmen,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Lyman High School,,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Liberty High School,Liberty High School Grenadiers,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Gadsden Elementary School,Gadsden Elementary School District #32 Marching Band,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
East Coweta High School,The East Coweta High School Marching Indians,,,Hollywood,2019,https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/
Gevorkian Dance Academy,,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
Mira Costa High School,Mira Costa High School Marching Band and Colorguard,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
The Los Angeles Catholic Schools Band (LACSB),The Los Angeles Catholic Schools Band (LACSB),,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
