school,band_name,city,state,event,year,source_url
Foothill High School,,,,Macy's,2027,https://news3lv.com/news/local/foothill-high-school-band-selected-to-perform-in-2027-macys-thanksgiving-day-parade
Marcus High School,,,,Macy's,2027,https://www.cbsnews.com/texas/news/marcus-high-school-band-macys-thanksgiving-day-parade-2027-9-1-2026/
Dobyns-Bennett High School,,,,Macy's,2026,https://www.wjhl.com/news/local/dobyns-bennett-high-school-band-to-perform-in-2026-macys-thanksgiving-day-parade/
Concord High School,,,,Macy's,2026,https://www.wndu.com/2025/10/07/concord-high-school-marching-band-perform-macys-thanksgiving-day-parade/
Pearland High School,,,,Macy's,2026,https://communityimpact.com/pearland-friendswood-manvel/education/pearland-high-school-band-selected-to-perform-at-macys-thanksgiving-parade-in-2026/
Byrnes High School,,,,Macy's,2025,https://www.wyff4.com/article/byrnes-high-school-band-macys-thanksgiving-day-parade/68908250
Penn High School,,,,Philadelphia,2025,https://www.southbendtribune.com/videos/news/local/2025/11/28/penn-marches-in-thanksgiving-day-parade-in-philadelphia/87506745007/
Kingsway Regional High School,,,,Philadelphia,2025,https://6abc.com/post/kingsway-regional-high-school-marching-band-brings-classics-6abc-yard/17932336/
Kingsway Regional High School,,,,Philadelphia,2023,https://6abc.com/post/kingsway-regional-high-school-marching-band-thanksgiving-day-parade-new-jersey-live-on-action-news/14075836/
A. I. Dupont High School,,,,Philadelphia,2019,https://6abc.com/post/a-i-dupont-high-school-marching-band-celebrating-4-decades-of-thanksgiving-day-parade-participation/5525529/
Parkland High School,,,,Philadelphia,2022,https://www.wfmz.com/news/area/lehighvalley/parkland-high-school-marching-band-performs-at-philadelphia-thanksgiving-day-parade/article_865419ba-6c50-11ed-80c7-178de2213046.html
Biloxi High School,,,,Philadelphia,2017,https://www.wlox.com/story/37378335/biloxi-high-band-to-march-in-americas-oldest-thanksgiving-day-parade/
Fishers High School,,,,Macy's,2023,https://www.indystar.com/story/news/local/hamilton-county/education/2022/04/26/fishers-high-school-indiana-band-perform-2023-macys-thanksgiving-parade/7443505001/
Enloe High School,,,,Raleigh Christmas Parade,2019,https://abc11.com/post/enloe-high-band-prepares-to-perform-at-raleigh-christmas-parade/5697793/
Southeast Raleigh High School,,,,Raleigh Christmas Parade,2022,https://www.wral.com/video/southeast-raleigh-high-school-marching-band-brings-powerful-brass-drums-to-raleigh-christmas-parade/20586269/
