event,year,year_explicit,school,headline,publisher,published,link
Macy's,2027,1,Foothill High School,Foothill High School band selected to perform in 2027 Macy’s Thanksgiving Day Parade,KSNV,2026-08-21T07:00:00Z,https://news3lv.com/news/local/foothill-high-school-band-selected-to-perform-in-2027-macys-thanksgiving-day-parade
Macy's,2027,1,Marcus High School,Marcus High School band set to perform at Macy's Thanksgiving Day Parade in 2027,CBS News,2026-09-01T07:00:00Z,https://www.cbsnews.com/texas/news/marcus-high-school-band-macys-thanksgiving-day-parade-2027-9-1-2026/
Macy's,2026,1,Dobyns-Bennett High School,Dobyns-Bennett High School Band to perform in 2026 Macy’s Thanksgiving Day Parade,wjhl.com,2025-10-07T07:00:00Z,https://www.wjhl.com/news/local/dobyns-bennett-high-school-band-to-perform-in-2026-macys-thanksgiving-day-parade/
Macy's,2026,1,Concord High School,Concord High School marching band to perform at Macy’s Thanksgiving Day Parade in 2026,WNDU,2025-10-07T07:00:00Z,https://www.wndu.com/2025/10/07/concord-high-school-marching-band-perform-macys-thanksgiving-day-parade/
Macy's,2026,1,Pearland High School,Pearland High School band selected to perform at Macy’s Thanksgiving Parade in 2026,Community Impact,2025-10-09T07:00:00Z,https://communityimpact.com/pearland-friendswood-manvel/education/pearland-high-school-band-selected-to-perform-at-macys-thanksgiving-parade-in-2026/
Macy's,2025,0,Byrnes High School,Byrnes High School band to perform in Macy's Thanksgiving Day Parade,wyff4.com,2025-10-08T07:00:00Z,https://www.wyff4.com/article/byrnes-high-school-band-macys-thanksgiving-day-parade/68908250
Philadelphia,2025,1,Penn High School,Penn High School's marching band performed at the 2025 Dunkin’ Thanksgiving Day Parade in Philadelphia.,South Bend Tribune,2025-11-28T08:00:00Z,https://www.southbendtribune.com/videos/news/local/2025/11/28/penn-marches-in-thanksgiving-day-parade-in-philadelphia/87506745007/
Philadelphia,2025,0,Kingsway Regional High School,Kingsway Regional High School Marching Band brings the classics to the 6abc Yard,6abc Philadelphia,2025-10-03T07:00:00Z,https://6abc.com/post/kingsway-regional-high-school-marching-band-brings-classics-6abc-yard/17932336/
Philadelphia,2023,0,Kingsway Regional High School,Kingsway Regional High School marching band prepares for 6abc Dunkin' Thanksgiving Day Parade,6abc Philadelphia,2023-11-17T08:00:00Z,https://6abc.com/post/kingsway-regional-high-school-marching-band-thanksgiving-day-parade-new-jersey-live-on-action-news/14075836/
Philadelphia,2019,0,A. I. Dupont High School,A. I. Dupont High School marching band celebrating 4 decades of Thanksgiving Day Parade participation,6abc Philadelphia,2019-09-11T07:00:00Z,https://6abc.com/post/a-i-dupont-high-school-marching-band-celebrating-4-decades-of-thanksgiving-day-parade-participation/5525529/
Philadelphia,2022,0,Parkland High School,Parkland High School Marching Band performs at Philadelphia Thanksgiving Day Parade,WFMZ.com,2022-11-24T08:00:00Z,https://www.wfmz.com/news/area/lehighvalley/parkland-high-school-marching-band-performs-at-philadelphia-thanksgiving-day-parade/article_865419ba-6c50-11ed-80c7-178de2213046.html
Philadelphia,2017,0,Biloxi High School,Biloxi High band to march in America's oldest Thanksgiving Day parade,wlox.com,2018-01-30T08:00:00Z,https://www.wlox.com/story/37378335/biloxi-high-band-to-march-in-americas-oldest-thanksgiving-day-parade/
Macy's,2023,1,Fishers High School,Fishers High School Marching Tiger Band to perform in 2023 Macy's Thanksgiving Day Parade,IndyStar,2022-04-26T07:00:00Z,https://www.indystar.com/story/news/local/hamilton-county/education/2022/04/26/fishers-high-school-indiana-band-perform-2023-macys-thanksgiving-parade/7443505001/
Raleigh Christmas Parade,2019,0,Enloe High School,Enloe High School band prepares to perform at 75th annual Raleigh Christmas Parade,ABC11 News,2019-11-14T08:00:00Z,https://abc11.com/post/enloe-high-band-prepares-to-perform-at-raleigh-christmas-parade/5697793/
Raleigh Christmas Parade,2022,0,Southeast Raleigh High School,"Southeast Raleigh High School marching band brings powerful brass, drums to Raleigh Christmas Parade",WRAL,2022-11-19T08:00:00Z,https://www.wral.com/video/southeast-raleigh-high-school-marching-band-brings-powerful-brass-drums-to-raleigh-christmas-parade/20586269/
