school,band_name,city,state,event,year,source_url
Tournament of Bands All-Star Marching Band,,,,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
A.I. Dupont Tiger Marching Band,,Greenville,DE,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Smiths Station High School,Smiths Station High School Panther Spirit Band,Smith Station,AL,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Alan B. Shepard Marching Band,,Palos Heights,IL,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pennsbury High School,Pennsbury High School Marching Band,Fairless Hills,PA,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Brownsburg High School,The Sound of Brownsburg High School Marching Band,Brownsburg,IN,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Laporte High School,Laporte High School Marching Band,Laporte,IN,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Jackson Memorial Jaguar Band,,Jackson,NJ,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Combined bands of Midland Valley and Silver Bluff High Schools,,Granitville,SC,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Fishers High School,Fishers High School Marching Tiger Band,Fishers,IN,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Riverview High School,Riverview High School Band,Sarasota,FL,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Oneonta High School,Oneonta High School Band,Oneonta,AL,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Kutztown University Marching Unit,,Kutztown,PA,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pendleton Heights High School,Pendleton Heights High School Marching Band,Pendleton,IN,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Heights Youth Club and Marching Band,,,,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
A.I. DuPont High School,A.I. DuPont High School Tiger Band,Greenville,DE,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Anthony Wayne High School,Anthony Wayne High School Marching Generals,Whitehouse,OH,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Baldwin County All-Star Band,,Baldwin County,AL,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Brooks High School,Brooks High School Marching Band,Killen,AL,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Dwight Morrow High School,Dwight Morrow High School Marching Band,Englewood,NJ,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
East Hills Middle School,East Hills Middle School Band,Bethlehem,PA,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Heights Marching Band,,,,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Homewood High School,Homewood High School Patriot Band,Homewood,AL,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Huntsville High School,Huntsville High School Crimson Panther Marching Band,Huntsville,AL,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Jonathan Adler High School,Jonathan Adler High School Marching Band,Plain City,OH,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
North Augusta High School,North Augusta High School Jacket Regiment,North Augusta,SC,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
NorthWood High School,NorthWood High School Red Regiment,Nappanee,IN,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Penn High School,Penn High School Marching Kingsmen,Mishawaka,IN,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pennsbury High School,Pennsbury High School Marching Band,Fairless Hills,PA,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pickens and Fannin Count High School,The Pickens and Fannin Count High School Band,Jasper and Blue Ridge,GA,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Rome High School,Rome High School Marching Band,Rome,GA,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Tournament of Bands All Star Marching Band,,,,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Wayne County High School,Wayne County High School Marching Band,Jesup,GA,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Winchester Community High School,Winchester Community High School Band,Winchester,IN,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Woodland High School,Woodland High School Marching Band,Stockbridge,GA,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
A.I. DuPont High School,A.I. DuPont High School Marching Band,Wilmington,DE,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Bellefontaine High School,Bellefontaine High School Band,,DE,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Biloxi High School,Biloxi High School Band,Biloxi,MS,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Bedford North Lawrence Marching Stars,,Bedford,IN,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Bloomington North High School,Bloomington North High School Band,Bloomington,IN,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Braden River High School,Braden River High School Band,Bradenton,FL,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Brien McMahon High School,Brien McMahon High School Band,Norwalk,CT,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
