school,band_name,city,state,event,year,source_url
Blue Springs High School,Golden Regiment Marching Band,Blue Springs,MO,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Cavalcade of Bands Honor Band,,Harrisburg,PA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Cypress High School,"Marching Band, Centurion Imperial Brigade",Cypress,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Escuela Secundaria General #5, Manuel R. Gutierrez","Banda Musical Delfines, Veracruz, Mexico",,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Florida State University Marching Chiefs,,Tallahassee,FL,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Helsingor Pipegarde,"Elsinore Girls Marching Band, Denmark",,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Koriyama Honor Green Band, Koriyama, Japan",,,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Robert E. Lee High School,Mighty Rebel Band,Midland,TX,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Lakota West High School,Marching Firebirds,Butler County,OH,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Legacy High School,Lightning Marching Band,Broomfield,CO,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
LAUSD All District High School,Honor Band,Los Angeles,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Maui High School,"'s ""Saber"" Marching Band and Color Guard",Kahului,HI,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
O'Fallon Township High School,Marching Panthers,O'Fallon,IL,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
University of Oregon Marching Band,,Eugene,OR,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pasadena City College Tournament of Roses Honor Band and Herald Trumpets,,Pasadena,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Round Rock High School,Dragon Band,Round Rock,TX,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Temple City High School,"Marching Band, The Pride of",Temple City,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
United States Marine Corps West Coast Composite Band,,,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Walton High School,Marching Raider Band,Marietta,GA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Albany State University Marching Rams,,Albany,GA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
